"DFV.id","modPenaliseTest2.predict"
27139,0.0378480764063812
36563,0.040819688613913
100835,0.0202443442582972
90879,0.0283054635671255
13307,0.0283187758300321
82556,0.0671666002196557
22211,0.0295447908815335
31291,0.0545074887376397
71492,0.041859313463685
59819,0.0285757919412549
92428,0.0195020757345741
109825,0.0425382377205919
957,0.0561268395401103
57583,0.0898592640506172
113006,0.0489785187316325
9095,0.0367185572035072
103802,0.0639709175246023
104527,0.0242311115985488
33211,0.0115984470113815
9641,0.0845624960004481
46898,0.0196621633461674
3977,0.0449805861163422
15486,0.0426877802858927
1681,0.101479290342593
101926,0.0727122500116488
86771,0.0171238632328373
57657,0.0652181006286159
105737,0.0118842274868766
117181,0.0125521727427821
98784,0.030712319554131
89177,0.0643058238725141
57135,0.0263597015632662
116873,0.035043025010296
22067,0.0510201178332165
98724,0.0421250515823789
62841,0.0293448550798009
106369,0.0374598262356523
69728,0.0234057261940339
125292,0.0403229053193362
119735,0.0109484233236297
90516,0.0380084140963277
5122,0.0665821556973107
92470,0.0448413462185354
119836,0.0180405293784565
8024,0.0482483337679594
25622,0.0394529132513007
68191,0.0532208245637495
73220,0.0303266665419129
113973,0.0141234827591586
95885,0.0200165833151076
65897,0.0343811129654384
69046,0.0168963615386465
13594,0.0168462252627474
17572,0.0591597100886079
39554,0.00832013264378871
12428,0.0407833939428499
97921,0.0249501601584794
25505,0.0218793375239425
13676,0.0515690652192921
72775,0.0785075612052567
66122,0.0266209226964839
43446,0.0055531294510636
36572,0.0530231762570868
64249,0.0551927637002025
94111,0.0522040138830304
90388,0.0465530877511368
24176,0.0566512900083845
42027,0.0317984414538101
125596,0.0827067210225653
29387,0.0255148249319566
99638,0.0408410552641708
101304,0.0460548041733487
99666,0.0108337348129426
49876,0.0367912551279846
59371,0.026401583491095
62304,0.0181607410592134
9234,0.0354382433899097
119277,0.0284126117834748
21949,0.0255099779909219
40955,0.0235510052998268
84107,0.0330442683233127
80367,0.0268451959956572
29818,0.0609632769720002
32718,0.0319406119112257
110238,0.0147990087131613
85339,0.0835187802275228
46148,0.0124393789708948
35498,0.0309123214694884
23258,0.0263716660678109
7683,0.0273237536457113
25422,0.026674812174551
70080,0.0368544247194031
3889,0.0216857410605993
78788,0.00818621746307104
79986,0.0161909435329463
25760,0.0444507050563151
21116,0.0799517005674919
105624,0.0125304578858593
56248,0.0116285632819594
61589,0.0247436585057702
72165,0.0258422551254769
104224,0.0341658057835737
62908,0.0346189616543146
72647,0.093232029955283
96649,0.0111938489531999
55903,0.0152358677356229
64848,0.049372984732016
53333,0.0349868174435317
41656,0.018915921471188
23803,0.0155703857544114
42564,0.0274204061742248
115643,0.0136660066526489
16176,0.0126090860280848
75122,0.0588792823391751
24140,0.034493369237182
89999,0.0714194505247361
125482,0.038853797912597
74604,0.0253628695871066
107973,0.0184669082181136
101599,0.0275800785153644
108096,0.0451509925320692
76354,0.0333284248538838
35906,0.0273629255958244
91948,0.0386519169393812
79739,0.029697168492319
64382,0.0484470099074358
